name,sesai_id,created_at,updated_at
"KARAJÁ",2085,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JAVAE",2062,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMAYURÁ",2072,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XAVANTE",2215,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPUIA",2178,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AVA-CANOEIRO",2022,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XERENTE",2216,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KRENAK",2112,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAJA JAVAE",2086,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUARANI",2048,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPEBA",2176,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PATAXO",2160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PANKARARE",2153,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PANKARU",2155,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PATAXO HÁ-HÁ-HAE",2161,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TRUKA",2190,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAIMBE",2068,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUPINIQUIM",2195,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KIRIRI",2107,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUPINAMBÁ",3053,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PAYAYÁ",3115,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANTARURE",2082,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUMBALALA",3012,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TABAJARA",3043,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JENIPAPO-KANINDE",2063,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TREMEMBE",2189,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PITAGUARI",2166,"2015-11-06 00:00:00","2015-11-06 00:00:00"
