25,271,"CARNAUBEIRA DA PENHA",2016-01-08 14:42:41.255078,2016-01-08 14:42:41.255078
20,193,"TACURU",2016-01-08 14:42:39.720259,2016-01-08 14:42:39.720259
5,49,"MANOEL URBANO",2016-01-08 14:42:37.243643,2016-01-08 14:42:37.243643
26,279,"ALTA FLORESTA D'OESTE",2016-01-08 14:42:41.400467,2016-01-08 14:42:41.400467
26,278,"JI-PARANA",2016-01-08 14:42:41.381313,2016-01-08 14:42:41.381313
19,190,"GRAJAU",2016-01-08 14:42:39.669952,2016-01-08 14:42:39.669952
17,161,"RIOZINHO",2016-01-08 14:42:39.17594,2016-01-08 14:42:39.17594
9,76,"IBOTIRAMA",2016-01-08 14:42:37.737323,2016-01-08 14:42:37.737323
9,83,"FEIRA DE SANTANA",2016-01-08 14:42:37.845416,2016-01-08 14:42:37.845416
19,186,"ARAME",2016-01-08 14:42:39.606038,2016-01-08 14:42:39.606038
25,268,"FLORESTA",2016-01-08 14:42:41.199928,2016-01-08 14:42:41.199928
10,88,"MARACANAU",2016-01-08 14:42:37.940656,2016-01-08 14:42:37.940656
10,86,"CAUCAIA",2016-01-08 14:42:37.894459,2016-01-08 14:42:37.894459
25,267,"CABROBO",2016-01-08 14:42:41.18105,2016-01-08 14:42:41.18105
25,266,"CARNAUBEIRA DA PENHA",2016-01-08 14:42:41.160612,2016-01-08 14:42:41.160612
4,37,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:37.028419,2016-01-08 14:42:37.028419
4,27,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.838432,2016-01-08 14:42:36.838432
26,280,"HUMAITA",2016-01-08 14:42:41.429989,2016-01-08 14:42:41.429989
7,66,"PEDRA BRANCA DO AMAPARI",2016-01-08 14:42:37.571546,2016-01-08 14:42:37.571546
7,67,"OBIDOS",2016-01-08 14:42:37.589985,2016-01-08 14:42:37.589985
7,65,"ALMEIRIM",2016-01-08 14:42:37.551361,2016-01-08 14:42:37.551361
22,227,"JURUA",2016-01-08 14:42:40.347139,2016-01-08 14:42:40.347139
22,226,"ITAMARATI",2016-01-08 14:42:40.326506,2016-01-08 14:42:40.326506
22,221,"EIRUNEPE",2016-01-08 14:42:40.235528,2016-01-08 14:42:40.235528
22,222,"ALVARAES",2016-01-08 14:42:40.25223,2016-01-08 14:42:40.25223
22,217,"TEFE",2016-01-08 14:42:40.158565,2016-01-08 14:42:40.158565
22,223,"JUTAI",2016-01-08 14:42:40.269142,2016-01-08 14:42:40.269142
22,228,"JAPURA",2016-01-08 14:42:40.380588,2016-01-08 14:42:40.380588
22,220,"MARAA",2016-01-08 14:42:40.216316,2016-01-08 14:42:40.216316
34,344,"BARCELOS",2016-01-08 14:42:42.624195,2016-01-08 14:42:42.624195
34,335,"BARCELOS",2016-01-08 14:42:42.477732,2016-01-08 14:42:42.477732
34,343,"BARCELOS",2016-01-08 14:42:42.607201,2016-01-08 14:42:42.607201
21,209,"LABREA",2016-01-08 14:42:40.015993,2016-01-08 14:42:40.015993
21,210,"LABREA",2016-01-08 14:42:40.035492,2016-01-08 14:42:40.035492
21,215,"LABREA",2016-01-08 14:42:40.118581,2016-01-08 14:42:40.118581
21,213,"LABREA",2016-01-08 14:42:40.084802,2016-01-08 14:42:40.084802
21,211,"LABREA",2016-01-08 14:42:40.052414,2016-01-08 14:42:40.052414
21,216,"LABREA",2016-01-08 14:42:40.137746,2016-01-08 14:42:40.137746
21,207,"TAPAUA",2016-01-08 14:42:39.97728,2016-01-08 14:42:39.97728
21,212,"TAPAUA",2016-01-08 14:42:40.068282,2016-01-08 14:42:40.068282
21,214,"TAPAUA",2016-01-08 14:42:40.102746,2016-01-08 14:42:40.102746
16,144,"BOA VISTA",2016-01-08 14:42:38.88647,2016-01-08 14:42:38.88647
16,135,"CAROEBE",2016-01-08 14:42:38.741075,2016-01-08 14:42:38.741075
16,121,"BONFIM",2016-01-08 14:42:38.511327,2016-01-08 14:42:38.511327
17,163,"ARAQUARI",2016-01-08 14:42:39.213527,2016-01-08 14:42:39.213527
26,282,"PORTO VELHO",2016-01-08 14:42:41.468072,2016-01-08 14:42:41.468072
17,158,"REGISTRO",2016-01-08 14:42:39.124861,2016-01-08 14:42:39.124861
17,160,"VIAMAO",2016-01-08 14:42:39.160349,2016-01-08 14:42:39.160349
17,168,"SAO SEBASTIAO",2016-01-08 14:42:39.295199,2016-01-08 14:42:39.295199
17,164,"SAO PAULO",2016-01-08 14:42:39.228733,2016-01-08 14:42:39.228733
5,46,"SANTA ROSA DO PURUS",2016-01-08 14:42:37.192661,2016-01-08 14:42:37.192661
23,243,"RESPLENDOR",2016-01-08 14:42:40.713869,2016-01-08 14:42:40.713869
23,232,"CARMESIA",2016-01-08 14:42:40.487505,2016-01-08 14:42:40.487505
20,196,"PARANHOS",2016-01-08 14:42:39.773762,2016-01-08 14:42:39.773762
20,204,"CAARAPO",2016-01-08 14:42:39.92284,2016-01-08 14:42:39.92284
20,192,"AMAMBAI",2016-01-08 14:42:39.703437,2016-01-08 14:42:39.703437
25,269,"AGUAS BELAS",2016-01-08 14:42:41.218276,2016-01-08 14:42:41.218276
2,13,"ALTAMIRA",2016-01-08 14:42:36.57581,2016-01-08 14:42:36.57581
6,55,"TONANTINS",2016-01-08 14:42:37.355083,2016-01-08 14:42:37.355083
6,56,"AMATURA",2016-01-08 14:42:37.383092,2016-01-08 14:42:37.383092
6,54,"SANTO ANTONIO DO ICA",2016-01-08 14:42:37.336347,2016-01-08 14:42:37.336347
6,58,"SAO PAULO DE OLIVENCA",2016-01-08 14:42:37.418387,2016-01-08 14:42:37.418387
6,59,"BENJAMIN CONSTANT",2016-01-08 14:42:37.44006,2016-01-08 14:42:37.44006
23,246,"SANTA HELENA DE MINAS",2016-01-08 14:42:40.768698,2016-01-08 14:42:40.768698
23,238,"SAO JOAO DAS MISSOES",2016-01-08 14:42:40.626151,2016-01-08 14:42:40.626151
23,237,"SAO JOAO DAS MISSOES",2016-01-08 14:42:40.606781,2016-01-08 14:42:40.606781
20,202,"BONITO",2016-01-08 14:42:39.884441,2016-01-08 14:42:39.884441
16,148,"BONFIM",2016-01-08 14:42:38.962018,2016-01-08 14:42:38.962018
16,139,"CANTA",2016-01-08 14:42:38.802135,2016-01-08 14:42:38.802135
16,133,"PACARAIMA",2016-01-08 14:42:38.710448,2016-01-08 14:42:38.710448
16,154,"PACARAIMA",2016-01-08 14:42:39.055497,2016-01-08 14:42:39.055497
16,127,"BOA VISTA",2016-01-08 14:42:38.609279,2016-01-08 14:42:38.609279
16,146,"ALTO ALEGRE",2016-01-08 14:42:38.930496,2016-01-08 14:42:38.930496
16,152,"AMAJARI",2016-01-08 14:42:39.023396,2016-01-08 14:42:39.023396
16,150,"AMAJARI",2016-01-08 14:42:38.992818,2016-01-08 14:42:38.992818
16,145,"NORMANDIA",2016-01-08 14:42:38.902937,2016-01-08 14:42:38.902937
16,136,"NORMANDIA",2016-01-08 14:42:38.755918,2016-01-08 14:42:38.755918
16,142,"NORMANDIA",2016-01-08 14:42:38.850065,2016-01-08 14:42:38.850065
16,153,"NORMANDIA",2016-01-08 14:42:39.040456,2016-01-08 14:42:39.040456
16,128,"UIRAMUTA",2016-01-08 14:42:38.624836,2016-01-08 14:42:38.624836
16,151,"PACARAIMA",2016-01-08 14:42:39.007744,2016-01-08 14:42:39.007744
16,125,"UIRAMUTA",2016-01-08 14:42:38.579285,2016-01-08 14:42:38.579285
16,147,"UIRAMUTA",2016-01-08 14:42:38.94619,2016-01-08 14:42:38.94619
16,124,"PACARAIMA",2016-01-08 14:42:38.559357,2016-01-08 14:42:38.559357
16,129,"UIRAMUTA",2016-01-08 14:42:38.639707,2016-01-08 14:42:38.639707
16,130,"UIRAMUTA",2016-01-08 14:42:38.656905,2016-01-08 14:42:38.656905
16,140,"NORMANDIA",2016-01-08 14:42:38.817284,2016-01-08 14:42:38.817284
16,143,"NORMANDIA",2016-01-08 14:42:38.870991,2016-01-08 14:42:38.870991
16,123,"NORMANDIA",2016-01-08 14:42:38.544229,2016-01-08 14:42:38.544229
16,137,"PACARAIMA",2016-01-08 14:42:38.771351,2016-01-08 14:42:38.771351
34,337,"BARCELOS",2016-01-08 14:42:42.508321,2016-01-08 14:42:42.508321
34,345,"IRACEMA",2016-01-08 14:42:42.640832,2016-01-08 14:42:42.640832
34,324,"ALTO ALEGRE",2016-01-08 14:42:42.297549,2016-01-08 14:42:42.297549
34,349,"ALTO ALEGRE",2016-01-08 14:42:42.711339,2016-01-08 14:42:42.711339
22,229,"UARINI",2016-01-08 14:42:40.405469,2016-01-08 14:42:40.405469
22,224,"FONTE BOA",2016-01-08 14:42:40.287201,2016-01-08 14:42:40.287201
22,225,"COARI",2016-01-08 14:42:40.307738,2016-01-08 14:42:40.307738
20,205,"CORUMBA",2016-01-08 14:42:39.940893,2016-01-08 14:42:39.940893
20,206,"BRASILANDIA",2016-01-08 14:42:39.95834,2016-01-08 14:42:39.95834
12,104,"SANTA LUZIA DO PARA",2016-01-08 14:42:38.22393,2016-01-08 14:42:38.22393
9,80,"JUAZEIRO",2016-01-08 14:42:37.79904,2016-01-08 14:42:37.79904
34,342,"ALTO ALEGRE",2016-01-08 14:42:42.591013,2016-01-08 14:42:42.591013
23,235,"SAO JOAO DAS MISSOES",2016-01-08 14:42:40.565714,2016-01-08 14:42:40.565714
17,166,"ANGRA DOS REIS",2016-01-08 14:42:39.259249,2016-01-08 14:42:39.259249
16,122,"UIRAMUTA",2016-01-08 14:42:38.527717,2016-01-08 14:42:38.527717
4,22,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.738321,2016-01-08 14:42:36.738321
6,57,"SAO PAULO DE OLIVENCA",2016-01-08 14:42:37.399981,2016-01-08 14:42:37.399981
6,53,"TABATINGA",2016-01-08 14:42:37.318214,2016-01-08 14:42:37.318214
28,288,"NOVO PROGRESSO",2016-01-08 14:42:41.586017,2016-01-08 14:42:41.586017
23,244,"LADAINHA",2016-01-08 14:42:40.732048,2016-01-08 14:42:40.732048
16,141,"ALTO ALEGRE",2016-01-08 14:42:38.832369,2016-01-08 14:42:38.832369
16,134,"PACARAIMA",2016-01-08 14:42:38.725454,2016-01-08 14:42:38.725454
16,126,"PACARAIMA",2016-01-08 14:42:38.594316,2016-01-08 14:42:38.594316
18,171,"MANAQUIRI",2016-01-08 14:42:39.341596,2016-01-08 14:42:39.341596
18,172,"MANACAPURU",2016-01-08 14:42:39.357432,2016-01-08 14:42:39.357432
18,176,"URUCARA",2016-01-08 14:42:39.444317,2016-01-08 14:42:39.444317
10,85,"CRATEUS",2016-01-08 14:42:37.87574,2016-01-08 14:42:37.87574
10,89,"ARATUBA",2016-01-08 14:42:37.957914,2016-01-08 14:42:37.957914
10,90,"PORANGA",2016-01-08 14:42:37.978846,2016-01-08 14:42:37.978846
10,84,"MONSENHOR TABOSA",2016-01-08 14:42:37.860515,2016-01-08 14:42:37.860515
32,315,"GENERAL CARNEIRO",2016-01-08 14:42:42.142665,2016-01-08 14:42:42.142665
32,319,"BOM JESUS DO ARAGUAIA",2016-01-08 14:42:42.213215,2016-01-08 14:42:42.213215
15,120,"SAO FELIX DO XINGU",2016-01-08 14:42:38.494091,2016-01-08 14:42:38.494091
33,322,"QUERENCIA",2016-01-08 14:42:42.267942,2016-01-08 14:42:42.267942
17,156,"OSORIO",2016-01-08 14:42:39.091966,2016-01-08 14:42:39.091966
1,12,"INHAPI",2016-01-08 14:42:36.557731,2016-01-08 14:42:36.557731
1,11,"TRAIPU",2016-01-08 14:42:36.536193,2016-01-08 14:42:36.536193
