base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
186,"MYRYTIA",49047,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"SUSSUAPARA",47112,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
188,"XIMBORENDÁ",50112,"MARANHAOZINHO",210637,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"BOA ESPERANÇA",51464,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"BUEIRA",50229,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"BANANAL",47025,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"BACABALZINHO",49524,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PATIZAL",49045,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"CIGANA",49565,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"DESCENDENTE DE SEVERINO",50352,"ITAIPAVA DO GRAJAU",210535,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MARIA JOANA",50357,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"TIRIRICA",49829,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"ESTIRÃO",47049,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"LAGOA DO MANEZINHO",49531,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"CÃO FORMOSO",50117,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"NOVA PROVIDÊNCIA",51102,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"URUCÚ",51094,"ITAIPAVA DO GRAJAU",210535,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"ALDEIA NOVA",51712,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"JUÇARAL",48292,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"LEITE",50014,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"RAPOSA DO SOL",50354,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"NOVO PLANETA",49469,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MASSARANDUBA",50358,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
