cost_id,pdsi_id,initial_forecast_2016
17,9,9637874.50
17,10,5193464.43
17,19,10713768.66
17,23,1453168.00
17,20,0
17,8,6114244.50
17,14,4206107.05
17,11,10438207.14
17,32,7716625.56
17,33,3060697.25
17,2,0
17,12,5049576.00
17,15,3884076.00
17,28,0
17,27,0
17,25,2157326.67
17,17,18384298.80
17,26,6692358.46
17,31,0
17,16,14463638.21
17,34,264622.05
17,13,0
17,29,5753737.65
18,5,0
18,1,0
18,4,0
18,6,0
18,30,0
18,18,0
18,21,0
18,22,0
18,24,0
18,7,0
18,9,0
18,10,0
18,19,0
18,23,0
18,20,0
18,8,0
18,14,0
18,11,0
18,32,0
18,33,0
18,2,0
18,12,0
18,15,0
18,28,0
18,27,0
18,25,0
18,17,0
18,26,0
18,31,0
18,16,0
18,34,0
18,13,0
18,29,0
19,5,0
19,1,0
19,4,0
19,6,0
19,30,0
19,18,0
19,21,0
19,22,0
19,24,0
19,7,0
19,9,0
19,10,0
19,19,0
19,23,0
19,20,0
19,8,0
19,14,0
19,11,0
19,32,0
19,33,0
19,2,0
19,12,0
19,15,0
19,28,0
19,27,0
19,25,0
19,17,0
19,26,0
19,31,0
19,16,0
19,34,0
19,13,0
19,29,0
20,5,0
20,1,0
20,4,0
20,6,0
20,30,0
20,18,0
20,21,0
20,22,0
20,24,0
20,7,0
20,9,0
20,10,0
20,19,0
20,23,0
20,20,0
20,8,0
20,14,0
20,11,0
20,32,0
20,33,0
20,2,0
20,12,0
20,15,0
20,28,0
20,27,0
20,25,0
20,17,0
20,26,0
20,31,0
20,16,0
20,34,0
20,13,0
20,29,0
21,3,3163329.95
21,5,3309631.90
21,1,4438874.73
21,4,5759487.13
21,6,6536992.57
21,30,3905709.83
21,18,8375375.02
21,21,3095824.36
21,22,4868247.89
21,24,4585422.12
21,7,4396295.54
21,9,3457156.73
21,10,1555735.48
21,19,2116735.76
21,23,8642864.25
21,20,15190796.11
21,8,4516217.65
21,14,3459432.56
21,11,12291933.91
21,32,3318176.68
21,33,5242606.82
21,2,3382890.71
21,12,6064467.65
21,15,4354303.21
21,28,4425935.99
21,27,2575522.06
21,25,5700206.44
21,17,5881196.24
21,26,3142604.43
21,31,6662916.81
21,16,3653931.89
21,34,7456759.61
21,13,11541613.20
21,29,4211604.22
22,5,0
22,1,0
22,4,0
22,6,0
22,30,0
22,18,0
22,21,0
22,22,0
22,24,0
22,7,0
22,9,0
22,10,0
22,19,0
22,23,0
22,20,0
22,8,0
22,14,0
22,11,0
22,32,0
22,33,0
22,2,0
22,12,0
22,15,0
22,28,0
22,27,0
22,25,0
22,17,0
22,26,0
22,31,0
22,16,0
22,34,0
22,13,0
22,29,0
23,5,0
23,1,0
23,4,0
23,6,0
23,30,0
23,18,0
23,21,0
23,22,0
23,24,0
23,7,0
23,9,0
23,10,0
23,19,0
23,23,0
23,20,0
23,8,0
23,14,0
23,11,0
23,32,0
23,33,0
23,2,0
23,12,0
23,15,0
23,28,0
23,27,0
23,25,0
23,17,0
23,26,0
23,31,0
23,16,0
23,34,0
23,13,0
23,29,0
24,5,0
24,1,0
24,4,0
24,6,0
24,30,0
24,18,0
24,21,0
24,22,0
24,24,0
24,7,0
24,9,0
24,10,0
24,19,0
24,23,0
24,20,0
24,8,0
24,14,0
24,11,0
24,32,0
24,33,0
24,2,0
24,12,0
24,15,0
24,28,0
24,27,0
24,25,0
24,17,0
24,26,0
24,31,0
24,16,0
24,34,0
24,13,0
24,29,0
25,5,0
25,1,0
25,4,0
25,6,0
25,30,0
25,18,0
25,21,0
25,22,0
25,24,0
25,7,0
25,9,0
25,10,0
25,19,0
25,23,0
25,20,0
25,8,0
25,14,0
25,11,0
25,32,0
25,33,0
25,2,0
25,12,0
25,15,0
25,28,0
25,27,0
25,25,0
25,17,0
25,26,0
25,31,0
25,16,0
25,34,0
25,13,0
25,29,0
26,5,0
26,1,0
26,4,0
26,6,0
26,30,0
26,18,0
26,21,0
26,22,0
26,24,0
26,7,0
26,9,0
26,10,0
26,19,0
26,23,0
26,20,0
26,8,0
26,14,0
26,11,0
26,32,0
26,33,0
26,2,0
26,12,0
26,15,0
26,28,0
26,27,0
26,25,0
26,17,0
26,26,0
26,31,0
26,16,0
26,34,0
26,13,0
26,29,0
27,5,0
27,1,0
27,4,0
27,6,0
27,30,0
27,18,0
27,21,0
27,22,0
27,24,0
27,7,0
27,9,0
27,10,0
27,19,0
27,23,0
27,20,0
27,8,0
27,14,0
27,11,0
27,32,0
27,33,0
27,2,0
27,12,0
27,15,0
27,28,0
27,27,0
27,25,0
27,17,0
27,26,0
27,31,0
27,16,0
27,34,0
27,13,0
27,29,0
28,5,0
28,1,0
28,4,0
28,6,0
28,30,0
28,18,0
28,21,0
28,22,0
28,24,0
