cod_uf,name_uf,cod_city,city,created_at,updated_at
13,"Amazonas",04302,"Urucará","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00706,"Boca do Acre","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03502,"Pauini","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00904,"Canutama","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02405,"Lábrea","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",04104,"Tapauá","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00144,"Apuí","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00805,"Borba","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01704,"Humaitá","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02702,"Manicoré","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03304,"Novo Aripuanã","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00027,"Amajari","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00050,"Alto Alegre","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00100,"Boa Vista","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00456,"Pacaraima","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00159,"Bonfim","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00175,"Cantá","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00407,"Normandia","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00704,"Uiramutã","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00209,"Caracaraí","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00282,"Iracema","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00308,"Mucajaí","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00233,"Caroebe","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00472,"Rorainópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00506,"São João da Baliza","2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"Roraima",00605,"São Luiz","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03002,"Faro","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03903,"Juruti","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05106,"Óbidos","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05304,"Oriximiná","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07979,"Terra Santa","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00404,"Alenquer","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01451,"Belterra","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02855,"Curuá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04752,"Mojuí dos Campos","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04802,"Monte Alegre","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05650,"Placas","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06005,"Prainha","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06807,"Santarém","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00503,"Almeirim","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05908,"Porto de Moz","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01105,"Bagre","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03101,"Gurupá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04505,"Melgaço","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05809,"Portel","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00305,"Afuá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00701,"Anajás","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01808,"Breves","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00205,"Porto Velho","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00338,"Nova Mamoré","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00452,"Buritis","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00700,"Campo Novo de Rondônia","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00809,"Candeias do Jamari","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00940,"Cujubim","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01104,"Itapuã do Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
